Date,Ticker,Price,Forecast,Trend,Vol > Avg,Sugg. Qty,Action
2025-12-23,INFY.NS,₹1689.60,-0.0055%,Bull,Yes,-,SELL
2025-12-23,MARUTI.NS,₹16649.00,-0.0145%,Bull,No,-,SELL
2025-12-23,BOSCHLTD.NS,₹36160.00,-0.2452%,Bear,Yes,-,SELL
2025-12-23,GVT&D.NS,₹3097.80,0.1231%,Bull,Yes,5,BUY
2025-12-23,GICRE.NS,₹371.95,-0.0096%,Bear,Yes,-,SELL
2025-12-23,LLOYDSME.NS,₹1352.50,-0.0684%,Bear,Yes,-,SELL
2025-12-23,MCX.NS,₹10821.00,-0.0603%,Bull,Yes,-,SELL
2025-12-23,M&MFIN.NS,₹394.30,0.0880%,Bull,Yes,36,BUY
2025-12-23,NATIONALUM.NS,₹290.30,-0.1025%,Bull,Yes,-,SELL
2025-12-23,HEXT.NS,₹746.05,0.5929%,Bull,Yes,26,BUY
2025-12-23,JKCEMENT.NS,₹5415.00,-0.0321%,Bear,No,-,SELL
2025-12-23,KAYNES.NS,₹4194.00,-3.6635%,Bear,No,-,SELL
2025-12-23,KPRMILL.NS,₹963.50,-0.2184%,Bear,No,-,SELL
2025-12-23,BLUESTARCO.NS,₹1766.20,-0.0381%,Bear,Yes,-,SELL
2025-12-23,HINDCOPPER.NS,₹403.40,0.1422%,Bull,Yes,42,BUY
2025-12-23,IKS.NS,₹1740.00,-0.0118%,Bull,Yes,-,SELL
